Ticker,Algorithm,MSE,RMSE,MAE
AAPL,ARIMA,0.21144224126377967,0.45982849113966356,0.3834910777508921
AAPL,XGBoost,0.22275271763580404,0.4719668607389761,0.3961235085923581
AAPL,Prophet,0.05539469565786768,0.23536077765394062,0.21482041507492455
AAPL,LSTM,0.10381567236154449,0.32220439531692374,0.20629529834517676
GOOGL,ARIMA,0.08677222066837185,0.2945712488827989,0.25965792118624553
GOOGL,XGBoost,0.10222211079270266,0.3197219272941765,0.2876585680566757
GOOGL,Prophet,0.04182556263961009,0.20451298892640069,0.18244600943648992
GOOGL,LSTM,0.06141957174659634,0.24782972329120723,0.19027928541960737
MSFT,ARIMA,0.23001895349298854,0.479602912306617,0.42717826630610733
MSFT,XGBoost,0.23690159956030107,0.4867253841339088,0.4351336215771839
MSFT,Prophet,0.013867410275878093,0.11775996890233155,0.10097619151321617
MSFT,LSTM,0.21262827316969582,0.46111633366179494,0.43812703836522776
AMZN,ARIMA,0.09896538846077255,0.31458764829657976,0.29618831854364736
AMZN,XGBoost,0.12986075660883645,0.36036197997130115,0.34439925739172733
AMZN,Prophet,0.19360737775796127,0.44000838373599344,0.4078840789837991
AMZN,LSTM,0.05723073095796065,0.2392294525303284,0.21071713949119267
NVDA,ARIMA,0.11900993706008164,0.34497816896157596,0.2949600351914459
NVDA,XGBoost,0.11410418305035172,0.33779310687216774,0.28671524813087873
NVDA,Prophet,0.9624855237581542,0.9810634657136887,0.971088392704017
NVDA,LSTM,0.33459887531699933,0.5784452223996662,0.5413026008278681
